spanishtop1k,tagalogtop1k,englishtop1k,hiligaynontop1k,bikoltop1k,waraytop1k,ilocanotop1k,cebuanotop1k,kapampangantop1k,pangasinensetop1k,yakantop1k,ivatantop1k,tausugtop1k,yamitop1k,tuwali_ifugaotop1k,masbatenotop1k
cho,nam,od_,asi,"us,",ahu,iay,i_n,_pi,i_J,ut_,oh_,tay,d_n,aly,ati
sot,kap,_ho,_su,An_,gud,ing,_un,ap_,_Ma,lum,isi,miy,da.,g_n,yan
o_c,big,_lo,"g,_",_gi,gto,gap,_Si,ipa,",_i",en.,a_i,ngu,ay.,gu_,Kay
_ta,gsa,"er,",as_,._K,day,ag_,buh,._A,ian,mon,tah,ima,y_m,gul,ari
l_c,t_p,_So,",_n",_Di,ro_,mba,Uny,lat,ngn,",_s",",_t",kab,own,t_m,nab
ond,ano,_Wh,_bi,inu,Nga,._K,tag,mal,_no,_bu,mia,mar,kad,ey_,sug
un_,_iy,_sh,sug,_hu,mal,y_t,lo_,_bi,ud_,lew,t_d,as_,"a.""",ih_,Nag
ton,_ti,rd_,"_S
d_k
_di
asu
kal
_Ma
la,
ano
_Gi
sul
an,
gal
og_
ato
iba
ngk
ngi
,_s
an.
ara
kad
nil
kab
._A
uno
d_n
_da
bot
,_a
g-a
uha
_ti
him
_Pe
tun
on,
San
aan
ntu
bay
Si_
uga
inh
but
inp
ak_
tin
in-
o_i
sab
ula
ng,
law
lay
i_a
dla
ugo
._N
i,_
abu
k_s
gko
g_D
npa
on.
_Ga
kah
pal
gah
s,_
._K
g_d
_Da
._G
n-o
tay
on-
tuo
,_p
hat
it_
tut
t_n
ri_
ago
t,_
_Ju
per
_lu
mal
wa_
nha
bis
-o_
i_m
adl
ra_
alo
uan
Per
ngg
ya,
s._
gat
ins
Gan
agb
y_m
ubo
dlo
n_i
ran
aya
pak
gab
_du
ad_
lak
n_p
y_J
ino
?_",ayo,"!""_",ka_,mat,s_a,t_a,g_s,"o,_",",_m",go_,y_a,agt
ten,y_i,e._,_pe,"i,_",aup,as_,lti,_ul,and,a_b,abo,sal,adi,hay,agh
uan,kat,s_i,sal,iba,bis,mma,git,mat,._A,Sag,oma,mun,waw,tut,s_k
_Ma,iyo,_He,gsu,bot,_pi,n._,kad,ale,gne,tu_,i_d,san,ipe,d-a,._K
éis,ban,_fi,ha_,_Ma,_ad,_an,ula,_lu,_wa,"n.""",mar,n_l,_Ka,yen,ago
ert,agi,e_g,kas,dum,ili,ili,gad,"an,",wal,agt,m_a,agu,owa,ani,tap
ran,_al,dis,gha,sip,"i,_",mai,_tu,_pe,pud,ka_,ak_,u_a,"_""M",Kan,iri
ndi,_tu,igh,nap,gin,nap,aku,_ar,"na,",a_y,kka,w_a,ndu,at_,ug_,g_m
ió_,rit,_br,kot,ios,._S,"n,_",._S,k_n,er_,k_s,ovo,ahi,ed_,nak,ak_
tar,gal,r_h,om_,a_l,"ng,",s_i,Ug_,a_t,k_n,tey,pia,kit,soy,s_y,_Gi
hom,mal,_my,y_k,agp,tub,uad,gha,",_i",ban,ehi,oyo,u_p,now,nda,idt
eci,sap,see,_ha,daw,iwa,amm,ak_,uma,y_l,n_w,tay,._I,aot,t_d,_bi
pue,sas,s_b,uko,awa,s_a,and,isu,_li,age,_di,say,gpa,y_k,da.,ran
sus,ag_,ain,mon,ro_,_Ng,enn,_il,ika,ima,aak,anm,gad,eyl,e_y,kan
bía,_Si,s._,Day,aku,nas,bat,at_,Iny,_Pa,_ki,go_,mul,i_k,e_n,uno
én_,la',my_,lon,_Si,kah,._A,_bi,upa,iak,ngg,ohe,agt,kaw,i_y,_im
me_,nap,eat,_ag,d_s,ti_,pas,_Ug,ulu,nla,i_a,kma,us_,pas,li_,._N
l_q,y_h,But,lag,Dio,y_m,mid,s_s,lu_,_me,a._,mav,_kā,icy,t_n,amu
tie,a_d,cam,gay,"_N
g_p
_iy
mba
y_n
ngo
hal
d_n
ipu
_mi
a_h
pul
_Pa
_Al
ale
gta
Ala
gab
_du
dis
s._
bos
agi
_ng
hon
nah
_An
olo
imo
,_m
a_g
am_
rin
oon
mak
aan
rah
_bu
wo_
gon
imb
adi
,_s
bo_
gpa
g_b
it_
ra_
uha
pa_
agu
_Sa
uwa
n_l
gtu
g_t
tub
n_h
kin
sal
n_D
min
rog
agb
agl
at_
oro
kap
ogo
ago
no_
don
oot
kas
mah
,_k
di_
atu
kay
ota
ya,
ngi
_ti
_Ju
._S
ma_
gar
kul
lak
gur
?_",-o_,"s,_",it_,isa,s_e,a_t,oro,ma_,ngn,h_t,_Ma
ech,gpa,"ed,","!""_",s_k,a_u,nka,mao,a_b,alo,._D,daw,ad_,pam,_Ju,_wa
abí,._S,own,nta,lal,gon,saa,isa,ie_,tin,u_k,et_,_bu,vak,Han,_ki
nde,ak_,tho,Sa_,gog,w_h,daw,ags,",_m",el_,an.,saw,tun,_it,kin,_ad
odo,lak,d._,nun,g-a,t_a,gna,t_n,_At,taw,atu,_in,piy,sin,y_m,per
die,sam,ts_,ika,sim,si_,nyo,lin,gad,nap,hat,ayp,agk,olo,n-a,tag
cer,lit,hou,ron,ba_,him,ud_,t_s,aun,ili,peg,oan,nu_,yva,aha,og_
_Di,"to,",ess,par,i_m,om_,",_a",mit,_bu,"_I
dia
n_l
ank
sip
nag
a_b
ink
tod
_A",sal,n._,"la,",ams,mba,abo
"as,",_Da,et_,gaa,._D,w_n,lak,ti_,par,o_y,",_d",_ti,_La,"n.""",i_a,_Pe
qui,no_,ell,tub,tat,ipa,t_a,kas,ini,_Si,a_a,"s,_",d_n,._I,mah,bih
"do,",_Na,"_T
wha
He_
und
ion
ove
_Bu
so_
o_s
ore
y,_
_Go
l_b
rs_
_mo
God
now
ead
m._
ke_
oun
has
_fa
han
y_a
mon
l_t
?_",ham,",_d",ud_,_Ng,Apa,int,any,ihi,_or,asu,od_,y_n,ahi
n_s,nal,s_f,git,_tu,hon,imb,i_a,t_p,y_b,Pai,ola,"sa,",la_,unu,i_m
o_h,an.,ce_,nod,"!""_",npa,ast,"on,",g_y,_ar,ēmo,ya.,pas,lol,ul_,law
_tu,iga,o_y,g_l,dak,"_""K",k_t,gip,nta,mam,Pag,y_s,i_i,eys,ndi,pon
ús_,_di,"id,",o_p,yon,itu,",""_",bag,ami,s._,bay,akm,hul,i_s,g_d,_pe
esc,mo_,s_c,hal,lo_,kia,Nge,nun,"us,",ipa,ane,dis,kun,o_l,bab,isi
tes,k_n,Whe,gba,gha,k_n,",_i",dal,_Pa,pul,uhu,war,u_b,gon,am-,uma
sal,roo,t_b,gtu,ya.,n-o,gda,d_n,l_a,epe,buw,s_s,kai,ray,_Mu,_Ta
vos,ig_,"ng,","_""A",buh,iro,eg_,s_n,au_,a_d,_lu,tin,ān_,i_S,ut_,agi
_En,ahi,",_f",n_g,mar,",_m",ban,atu,pak,lo_,itu,"_A
t_a
bo_
nmo
,_a
a.",ri_,a_c,h_k,kab
n_d,gga,"g,_",alu,kal,"_""A",ito,yod,eki,o_l,kin,roh,gba,po_,kul,gap
_hi,_ha,_le,mad,gib,kap,kab,sal,epa,_ti,bal,"_""A",ahu,Mak,t_a,abu
bra,yo',"ou,",",_'",_bi,nda,nay,ada,usa,_et,ekk,Vat,ain,mso,y_p,_bu
"r,_",wa_,_da,buh,le_,lab,pap,ngi,kib,"us,",n_n,iay,tān,ari,ngo,San
ar_,_pu,d_f,s_k,pot,liw,_Ma,_Ap,yar,amp,kun,hay,atā,kay,nun,him
ven,lah,led,lat,aim,",_'",ura,law,e_m,._S,hut,ipa,usa,li_,una,s._
ene,n_k,d_n,_ku,oma,_pu,yat,_hi,u_m,nda,aah,i_o,Pag,tay,mpa,tay
;_p,n_m,t_y,gda,tuk,ok_,alu,gtu,ngg,_An,_kē,Do_,Lau,kav,_nu,"i,_"
y_a,i_k,_pe,aro,_ib,aru,mo_,hin,t_y,ona,uhi,a_v,may,nit,_Ya,y_s
ano,hay,_la,_ga,y_s,pin,bas,may,u_y,ipu,bu_,rah,kas,ra.,Ya_,mon
ace,",_A",_cr,a_w,_ip,",_h",ane,a_D,lug,_Sa,tee,kaw,",_h",mah,s_d,g-a
",_c",lat,_am,gla,oto,utd,sta,_Gi,t_a,nta,eed,po_,",_n",lim,and,sal
s_t,ato,"u,_",ahu,wan,aon,mmo,g-a,tal,an.,iss,ima,agi,iwa,tin,nas
Dio,ka_,e_r,mba,isa,tdo,k_k,_Ma,lun,anl,ssā,idi,i_m,mal,mai,sto
tad,"la,",int,uon,non,sur,ngb,idt,d_n,bay,on_,_Do,gat,e_a,_at,kap
ían,bin,_at,nat,say,ami,g_k,y_n,s_n,tay,lah,tol,"i,_",et_,n_u,"an,"
na_,",_s",_sp,una,ubo,nmu,g_t,pa_,na.,imp,ed_,_Ju,āku,tom,m-i,yon
ora,gaw,u_w,a_h,ami,lal,ro_,tun,ul_,ate,"sa,",mon,kāk,m_k,._M,g_a
ba_,min,_by,dam,uga,_ga,y_n,god,num,_Ba,pit,any,bat,aji,i_d,",_n"
vie,iba,hos,bon,_hi,mab,"?""_",_im,min,ma_,u_m,aga,_ti,yay,k_k,n_D
ban,ago,y_h,gak,go_,am_,ila,aga,"i,_",wa_,nda,ypa,g_k,ek_,num,sip
Y_l,sum,any,log,"da,",_Am,pak,i_m,abl,lak,ye.,tav,cha,w_a,oha,uta
mas,wan,_kn,nda,lda,aag,i_u,lon,gin,dis,kēm,on_,id_,kab,um_,o_i
er_,par,h_t,gon,Dai,lay,ong,",_m",u_l,"ra,",dam,nar,i_s,._K,Mu_,hay
cos,_Ma,nde,t_k,Kay,bun,aru,agb,bla,ins,adj,_Na,min,_on,wat,tuo
jer,kak,der,nug,ona,pap,apn,gal,nua,lon,bis,oko,sub,nam,ttu,did
cha,dal,u_a,agi,_ar,bin,ngn,s._,_Ju,lit,_hi,imo,_hu,avo,aid,hun
per,_up,y_s,w_s,"_""A",lo_,"da,",ugo,e_y,Bal,i_t,ali,lid,ned,pin,_An
io_,wag,_gr,ti_,d_k,ima,lda,kat,amu,o_i,kuw,nye,isi,ney,ngg,_lu
_ju,pal,o_a,hib,mas,"t,_",nal,_Na,lit,",_n",_an,_Va,ni_,m_y,i_b,_ag
rec,ipi,hil,_pu,pat,uhi,ulo,him,_E_,ar_,awa,it_,taa,_la,nho,bay
tam,mul,ted,"y,_",too,Dir,us.,un-,"la,",naa,e_w,Amn,aki,",_'",_oh,kal
_Po,pas,by_,agd,aho,sak,pno,aya,_ik,_ku,gne,pat,bal,wal,ag_,._S
erd,_ip,ch_,o_b,wa_,uro,adu,in_,pal,eba,u_p,yap,d_s,"n,_",l_d,on.
tu_,g_g,n_w,y_a,tar,n_G,_Ka,did,yap,g_k,i_l,dng,_aw,vat,h_n,_mo
tre,t_h,o_w,agl,ita,"y,_",uro,d_k,g_A,ew_,diy,ray,Sag,ad_,tun,Pak
pre,aro,_ne,_hi,mat,",_a",mag,"_S
ab_
s_m
hi_
_U",ua_,bil,uru,._N,yag,ena,ato,nsa
pul,ot_,_up,upo,._P,nat,sad,ngu,ria,oon,bus,i_s,la.,hen,nud,"us,"
y_s,bab,",_'",pad,t_k,api,ma_,say,",_n",n_b,eng,mah,agd,yah,g_a,d_m
l_p,Dat,ake,a_u,n_K,alo,tap,s_u,_Pe,mo_,olo,ia.,but,ada,ap-,ugo
uno,g_h,s_d,al_,Sin,pat,_su,Sa_,tut,k_e,mat,ayc,_li,lay,._K,gad
ice,s_a,d_y,",_m",har,pod,_,kal,gal,g_y,ing,ych,kah,_Pi,ket,-an
mos,_su,t_s,yan,Dan,mon,pul,"an,",bab,imb,nta,yod,aak,wne,lyo,bot
Por,ad_,ard,_ib,iis,ant,sak,_Ju,wan,ong,i_b,ito,bus,i_P,inh,nap
pon,ram,s_n,bab,ngn,uya,_ga,n_p,adu,ans,ula,not,kar,ypa,n._,ya.
tos,uha,e_n,kau,kah,d_a,nai,lag,ant,t_i,pal,olo,il_,sar,ton,nah
",_n",kar,wn_,-ab,gna,pad,ias,ba_,un_,Ink,"_M
deg
abi
_el
had
ra_
ī_s
sag
nna
ila
_tu
ita
,_m
pe_
nal
tak
tau
lin
wan
bak
pu_
e_l
lam
_Du
_Ya
dan
pas
nku
agk
u,_
sam
agb
sah
_Na
n_t
enn
ubu
amp
lle
inu
alu
duw
_P",s._,._L,oro,p-a,"_N
uod
gsu
_Ju
Per
inp
bal
dla
ipu
los
_tu
una
gar
dis
pul
a_h
gtu
ar_
ba_
kah
d_k
g_k
go_
ma_
Pag
pod
s_a
it_
adl
alu
in-
int
ugu
_pi
lal
upo
ino
._A
hon
npa
kak
agb
mas
kau
inh
n_l
do_
Nan
ya,
tun
_P"
e._,iha,_tr,_Am,",_h",ito,iba,una,uta,lag,lik,key,i_k,way,_Hi,pad
Ent,ain,isc,iri,kaw,",_s",mam,ok_,unt,sam,auh,_ic,gun,lo_,amu,"?""_"
n_m,nig,giv,api,ira,oy_,pat,y_s,eni,pet,asu,gey,u_t,o_S,atu,gat
uel,api,_ch,abi,"mo,",tur,wen,tay,i._,bab,ngi,tor,_ag,ral,n-u,ngo
igo,nat,tel,and,had,agl,_Ju,dlo,kut,n_o,_se,iny,una,vya,nam,An_
erá,kal,son,ok_,sir,asu,mas,_Bu,sak,o_p,gal,._D,ind,kaj,dad,y_k
go_,ika,o_n,._P,pap,_ib,sia,k_s,ud_,pas,nte,tak,bu_,yab,s_n,rit
eño,sip,r_w,lam,gsi,Han,bab,Si_,_su,pal,ili,na.,ant,zan,i_J,ram
l_m,rin,ise,o_g,pas,gi_,ngp,uga,gga,gap,gga,ayo,_lu,cic,imp,aan
dis,lab,"es,",amb,bak,dar,_um,gik,kun,dan,Duk,iri,ntu,mo.,_ga,gas
"to,",y_a,row,pod,ugo,pas,pud,kaw,nti,",_s","en,",sna,pat,gna,a_p,sta
día,y_k,r_s,idt,ino,hit,_Pa,bat,gar,a_o,mal,ipo,",_b","_""N",-un,ngi
_ot,inu,ves,adu,iti,agd,wat,dla,mek,Ag_,ngn,yto,y_n,n_m,don,y_m
_do,yao,s_m,lod,bab,_ya,ins,aay,g_P,_Ju,tah,kom,kak,s_a,bob,gal
tab,"on,",r_o,gam,d_a,g_k,i_P,_ha,may,lad,ten,ame,ran,_Pa,"a,_",dam
a;_,a_h,yin,"ia,",aog,"._""",an.,ao_,ngi,yar,ahu,dwa,uta,as_,y_i,day
amb,_Di,ugh,lap,l_n,haw,isu,"ya,",ntu,par,agp,t_n,_Ya,vot,"u,_",gih
s_v,"yo,",sci,apo,nam,_du,nad,._M,_Me,lam,e_h,_at,uba,Yot,s._,buh
n_c,lib,cip,nab,w_n,pit,a_l,g_l,"o,_",al_,_Pe,._M,g_i,Mey,om_,ist
a_h,i_a,ipl,_mo,_li,nsi,nen,uma,kab,kab,e_g,No_,d_i,_Sa,yay,aho
men,mar,ry_,pun,g_d,"ay,",gka,non,eti,g_a,bab,adw,mab,Mo_,ulo,",_m"
n_p,",_k",een,pit,gda,y-a,Nag,kah,sas,_mi,Yah,rak,nam,ywa,t_h,Tap
ama,_Pa,_ta,kun,ok_,bug,t_d,ya.,una,_ib,nu_,wot,._H,jim,"_K
unt
eke
dih
omn
_bu
mno
lon
_In
._I
kad
_on
ain
ban
yu.
ann
tib
i_i
ud_
u_k
_mo
y_t
inu
ula
_ab
l_a
lut
h_b
g_k
u_h
ugg
a_b
_ug
len
ipu
dum
?_",had
ada,y_p,t_d,"An
lal
a_J
ya.
Kon
la.
har
k_n
kaw
sak
,_g
ay,
_In
yag
paa
kak
._D
ghi
_N",gdi,ruy,gay,",_a",ira,naw,edd,vid,sag,_ab,Ot_,y_a
omo,ios,ee_,_pi,ton,._G,gta,ati,ngk,ano,._B,s_o,l_s,avy,yag,uon
all,nom,bec,lib,o_i,y_k,k_n,yaw,tu_,iy_,",_b",_ip,upa,on_,kab,ban
ó_a,"in,",ds_,gwa,ngg,gda,sun,_ap,pit,"?""_",mam,hap,nsa,gi_,_Ot,pah
osa,Dio,ast,_ya,kad,gko,nte,ota,bie,yon,bey,oha,sam,mas,aki,ing
_Pa,gya,ook,oy_,_lu,gbu,agn,sam,uk_,d_p,nbi,nam,imu,m_s,g_h,maa
s_y,:_a,ir_,._M,om_,upo,din,g_J,d_k,nka,ap_,"us,",._P,_Me,isi,ian
ñor,git,ht_,maa,ade,tut,map,Bus,_Sa,nat,n_l,vo_,aru,om_,k_a,la_
obr,ma_,n_i,hi_,Kan,a_J,_pi,iad,i_a,eg_,ta_,eh_,n_Ī,m_p,bun,ipa
o_o,lam,e_e,Ind,ila,gah,_ar,i_u,_ra,",_b",u_d,pol,har,kom,Jud,gah
itu,os_,wen,apu,"_""M",tap,_bu,tuo,am_,iri,kau,ayv,lik,tor,_ib,o_g
s_o,l_s,_ev,s_a,rak,raw,pu_,api,iny,._K,gad,omn,ghu,ot_,udo,are
ué_,._D,chi,"us,",gya,ay-,"_k
,_m
ia_
_Ki
_ku
g_n
os_
gga
lo_
gin
_bi
agd
agu
ide
ngg
Kin
oma
lal
_aw
sao
iag
dua
agk
s_t
_du
_Sa
oan
_is
g_i
sur
ati
gng
id_
ona
Idi
_Si
naw
kun
ino
d_t
ano
ian
pal
nsu
sum
!_",_Pa,abu,ani,min,k_n,hil,zwa,mon,"_""N"
ad_,_mu,_ki,ugi,ngy,nhi,_In,"?""_",l_k,tak,i_n,s_m,ul_,_Ya,h_p,wa_
",_a",agb,rou,aay,yar,maa,_It,adl,e_a,o_k,tag,nir,yad,mon,pho,hap
ont,lum,_ab,uma,ri_,op_,gtu,dag,mil,t_t,pun,hak,_an,yas,dis,g_g
spo,noo,way,"at,",ald,Pag,s_a,aho,bin,nep,nuh,pap,_Ha,kes,t_i,dan
vin,ap_,rit,tap,Kun,dia,agp,y_m,dam,kal,lat,aho,sa.,eka,ate,ho_
ulo,ulo,hei,Ama,to_,",_b",kaa,"la,",wa_,_al,kam,and,agh,k_d,._N,nat
dec,"g,_",eir,"_""M",bin,m_h,ua_,nia,nal,s_t,iha,nap,sar,gai,_ud,ras
_Se,kai,"_A
ile
o_b
kno
lle
._W
_W",kap,t_a,bar,Iti,a_h,_On,lal,li_,asn,ut_,tov,sip,kin
bié,ihi,w_t,Jud,rat,isi,aon,ma_,One,pam,"am,",ayn,_un,k_a,los,ti_
o_m,_hu,_or,g_A,e_s,Ama,_Id,y_k,one,o_e,pay,men,"_N
Sak
alu
usu
pay
ray
._M
duu
ku,
ili
mas
ura
Yah
i_p
u_y
g_m
yas
mam
a_y
aym
kau
kap
ins
a_w
yu.
ami
abi
rus
a_T
gub
aud
ku.
iha
kum
ngh
d_k
gay
wak
pam
lam
y_s
pak
d_h
kay
ik_
dun
mah
k_n
nta
anj
tag
wan
nya
ich
diy
agg
,_d
t_n
adj
umu
and
it_
,_p
ruu
dug
anu
ihi
ayu
gda
gug
n_u
ika
lim
asi
wal
adl
par
i._
l_n
ipa
_Pi
dla
nja
l_k
b_i
āy_
hud
buk
gga
du_
mal
taw
jar
_Am
_at
un.
nu-
usi
i_a
way
Man
_Ba
nus
n_A
ayr
uru
suk
lug
dja
kur
,_k
bar
yu,
_ad
i_h
ags
nda
yru
ggu
bic
hal
i_d
sul
ktu
lil
nal
Ban
._D
ag_
duw
ānu
akt
iki
t_s
ngg
hiy
-si
sup
gta
pun
hay
?_",p_s,obl,",_k"
ció,oma,_gi,did,",_'",t_k,ray,._N,pas,dal,dja,kwa,k_h,eke,_bi,n_h
mbi,us_,"me,",ant,_it,nsu,sap,aon,g_K,r_e,llu,moa,tin,sal,_Na,rma
mis,kah,im.,uya,"g,_",_lu,y_k,udl,_on,"!""_",Ban,sip,agn,pal,_Ma,uwa
e_f,s_s,day,g._,hin,._M,ipu,bis,s_i,ria,"de,",en.,._B,kac,ad-,ahu
do:,mas,she,pay,;_a,ura,mon,_Mi,i_y,pat,bun,koh,a_u,api,bo_,-o_
._P,"t,_",lea,hin,pon,ind,lud,abu,tul,dad,"m,_",oav,buh,"_""I",wen,aon
Y_e,pap,hes,mas,_to,"na,",k_i,ino,rap,_Am,run,tov,kil,",_a",yon,was
l_d,n;_,_ea,ami,gko,_Bi,"us,",yag,At_,poy,k_d,"_""M",Han,eh_,ati,d_a
_ni,_wa,sen,_ad,Kag,ink,"ta,","!""_",dal,tey,ōng,yok,maa,t_d,nib,sul
l_h,"us,",ood,"Ma
ria
,_i
li_
_li
aho
go_
aku
uhi
ndo
non
gad
Wal
_I",ika,ron,lae,g_h,us.,"i,_",api,ala,k_s,lis,umb,aay
ist,uli,e_S,gul,dto,ubu,n_m,om_,de_,opa,ase,noh,his,.'_,n_P,urm
"re,",_ya,ind,ipa,ao_,Ana,g_a,ibu,itu,nme,"i,_",tom,bāy,mai,yak,rat
isc,a;_,ste,gga,m_n,usu,"_""N",y_a,men,Nen,uku,_ra,naa,_il,n_o,lak
una,pit,tio,Ana,i._,gta,am_,ano,nat,aen,n_h,oay,gi_,Kar,_al,ika
mi_,tot,ans,sad,bod,ghi,den,oon,g_g,gar,lil,avi,aib,oli,gal,ri_
rto,oto,eca,",_t",ado,do_,_pu,gis,sa_,amb,g_k,d_a,sug,mla,iba,paa
_er,atu,g_a,noo,o_d,gma,"an,",sug,mda,_Ne,daa,adn,nna,Ji_,_li,ha_
tas,Ang,_un,ian,won,ra.,ria,uno,._P,_ab,a_l,ada,_bā,t_n,und,und
scí,tal,nto,aut,ant,baw,"yo,",nim,tyu,liw,taw,los,apu,mat,al_,._M
cíp,uno,cau,aon,._M,oon,_Am,"g,_",pil,gay,_at,amn,nas,Yow,ngk,ura
ípu,bas,_ag,bin,y_m,gsa,uga,adu,_Ba,os_,ank,hes,tiy,te_,ano,isa
s:_,din,d_m,Kag,was,Kon,isa,kab,mar,rin,nai,an.,yu-,yli,ibb,o_d
ual,law,y_o,y_i,api,iha,"_""I",lak,ldo,_Ag,_be,g_a,k_k,yai,u_d,y_g
s_n,gad,ask,ayi,log,Jud,dad,s_k,_An,nar,usi,min,_Ka,het,h_J,g_p
aci,bay,eav,i._,"Ma
boo
._",noo,kaw,gut,i_i,gew,ngu,ora,_gu,_wa,non,_Am
r_e,s._,sel,d_a,ak_,"wo,",ek_,pit,liw,._T,egn,ita,u-s,y_j,s_k,._T
ari,una,sti,an-,Ama,pir,_lu,"_""A",ain,pin,hap,pam,maw,say,_ip,aag
ida,g_A,ong,ay.,tak,pos,"y,_",_ub,and,oo_,mab,tos,hun,nik,h_m,a_J
mad,_Ju,sed,way,gba,oan,kar,n_d,lab,pak,ags,hir,"_""I",amn,e_m,_ti
are,lon,gai,iwa,ngk,War,",_s",_Ka,_Nu,mat,u._,yam,kul,i_M,h_a,i._
das,w_n,t_m,ma_,hel,oo_,eny,"s,_",ut_,es_,was,o_J,t_h,moz,tta,_Si
ali,agt,ese,_uk,kdo,bub,ko_,alo,bur,_Na,lak,ria,āti,any,_ap,iba
n._,non,aus,iha,idt,gaw,a_u,._K,dua,nay,k_k,_ch,"u.""",Ko_,lag,eho
nci,gda,cro,kan,ko.,"yo,",ate,i._,wal,iop,_Ba,mat,sad,kme,m_a,gi_
mar,tat,ous,sub,kod,Bin,_al,",_n",os_,awi,ben,"_V
rar
omo
pir
Ma","._""",_Ni,apa,tuk
he_,kaw,._B,ngu,ukd,git,yan,ian,dia,rad,hal,at_,yaa,lal,k_h,tra
_yo,._N,_bo,pas,os.,hun,g._,gla,tus,gel,._N,ane,am_,_li,gol,_ib
der,d_s,no_,yar,g_h,Kay,pin,_ad,_ak,_Ti,_Si,"o.""",sak,Si_,_de,om_
ras,raw,rie,bul,"ko,",tum,Apo,ahu,luk,g_d,tap,wat,i_Y,eyt,u_m,rab
hac,Sin,t._,tum,nat,lod,sal,but,_Mi,as_,ube,iya,gal,hak,"i_""",umu
asa,n:_,ied,"yo,",_Am,e_n,"_I
,_t
._T
ato
k,_
law
_S",_pi,uri,g_m,la_,mac,aas,imi,pak,n-o
rán,but,"_""T",_ik,dag,lak,rud,pas,dan,bun,k_b,pac,",_'",acy,aph,._D
s?_,dak,pro,m_s,pir,",_g",li_,gih,pag,awe,kap,eng,n_w,i_j,gon,lin
yo_,kam,up_,l_s,"o.""",ram,_An,bay,e_r,",_p",abe,ek_,bai,To_,"_""A",Jud
"í,_",mab,rin,g_G,bon,_at,es_,mot,eya,ka_,gta,mas,g_d,"._""",._D,n_J
erm,und,o_o,"o.""","_""K","_""M",bin,gsu,pun,g_e,"?""_",dad,mad,Pan,la_,ukd
lab,_Ka,ins,wat,Aki,"Ma
wa_
rut
ay.
-ad
_Di
nam
o_d
uko
lug
mar
o.",sod,oan,tuk,kap,ne.,ova,ti_,"Mo
pah
ko.
tod
voy
yar
_oy
ncy
akt
eya
Iko
d_d
ep_
_iw
lin
tak
ann
za_
Sat
akz
zon
ivo
ozo
yob
_O",hum,ndi
sin,har,_Ma,"ni,","An
eta
gdu
y_a
_Ak
k_s
i_P
,_t
igd
pad
w_s
ras
n_A
la_
sag
dap
nya
on,
ul_
uta
_so
us.
tao
._H
tol
alu
alo
nta
a_J
aen
_S",way,_Ta,w_s,dak,Inm,m_s,_oy,"mu,",kah,Hay,gha
lam,g_D,"_""I",ilo,nad,aar,u_t,dih,bun,Pan,",_g",oga,dum,alo,l_n,"Na
pir
._"
emo,_bi,abo,_at,",_i",naa,par,ri_,Ing,lik,",_k",nah,"un,",ite,o_y,lo_
e_J,o_k,ked,oan,lon,lib,yo.,kak,ald,i_t,anb,via,uhi,elo,a_w,reh
Señ,ok_,l_y,pon,adu,_Hi,mmu,on.,kak,bin,"_p
ura
lo_
luw
u_b
end
bul
nya
m_m
use
gur
mah
gpa
hāp
eyi
uli
ene
,_","ra,",agl,niz,ble,Kun
_dí,_gi,bou,_ki,uny,os.,"ak,",was,Kay,kel,nam,gar,gsa,los,awa,ghu
sas,naw,ery,nas,iwa,uba,uds,oy_,t_s,gat,gsa,d_n,Bay,yad,lun,os.
e_D,abu,ny_,ris,g_g,ida,dso,hit,a_s,ley,sul,n_t,s_a,lit,y_d,t_k
ás_,a:_,Fat,t_a,g_l,pun,tal,sak,aty,yoy,dal,gat,yat,nar,uta,",_'"
_da,gat,sto,mah,luw,lil,nas,go_,asu,._B,sub,nas,imi,tal,map,ast
ece,mpa,oul,gta,era,uan,",_d",ol_,ru_,"yo,",a_g,m_p,inu,O_m,on.,Niy
abr,umi,r_y,lip,und,t._,"_i
s_n
ted
._S
teg
aip
ak.
gsi
kam
_tu
ald
lay
gak
awe
pad
._D
kap
tna
rit
bay
o_s
nar
Ama
d_i
d_k
_Ap
No_
Add
du_
_Da
sol
dum
kak
bil
aaw
_ay
kka
Saa
m_t
ubo
m_i
ran
k_a
gaw
i,_
uar
bia
tda
est
iri
it_
k._
_N",lat,",_M",sab,",_t",._T,"_""B",y_o,gap,and
_No,"d,_",ned,sun,",_p",a_P,aim,iba,any,t_e,n_T,nin,lat,ago,an.,lug
uie,y_t,nce,usa,gal,._A,kom,sin,asi,y_D,mai,vot,"n.""",nat,h_l,asi
_ac,map,ine,Kay,nar,aye,yaw,aan,_Al,abu,_Da,san,"_S
tum
_Da
hip
!_",it_,"a.""","da,"
stá,a_g,d_d,uli,igi,siy,m_d,hon,eta,"_""S",mas,h_a,_Si,asy,gat,gba
_mí,_ar,f_y,inb,gla,_mo,yta,kap,kam,t_d,map,pav,_as,eyz,_do,ris
_Es,_li,d_c,"_G
iin
yo.
mo,
aag
odl
kar
g-o
pos
pul
day
dak
a.",tot,mam,i_L,g_A,kul,id_,Sam,ed_,yam,yno,mut,ant
án_,ngy,ed.,_Pa,sad,lat,ipe,",_'",_ga,kam,",_n",awn,ūy_,oda,ena,_du
gun,yar,nte,os.,_o_,us.,alp,anh,o_a,ter,",_'",eo_,gku,diy,k_d,tin
